,VMV_CODE,NATIONAL_VARIABLE_CODE,VARIABLE_COMMON_NAME,VARIABLE_COMMON_NAME_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,MEASUREMENT_UNIT,DESCRIPTION,DESCRIPTION_FR,NATIONAL_METHOD_CODE,METHOD_TITLE,METHOD_TITLE_FR
0,100081,371,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
1,100082,387,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
2,100083,392,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
3,100084,410,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
4,100085,454,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
5,100086,461,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
6,100087,468,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
7,100088,517,IRON EXTRACTABLE,FER EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
8,100089,575,LITHIUM EXTRACTABLE,LITHIUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
9,100090,589,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
10,100091,594,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
11,100092,608,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
12,100093,679,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
13,100094,820,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
14,100095,877,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
15,100096,888,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
16,100097,400,BORON EXTRACTABLE,BORE EXTRACTIBLE,METAL,MÉTAUX,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
17,100098,406,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM EXTRACTIBLE/NON FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
18,100099,583,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
19,1001,386,BARIUM DISSOLVED,BARYUM DISSOUS,METAL,MÉTAUX,µG/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,3017.0,ANALYSIS OF DISSOLVED METALS BY INDUCTIVELY COUPLED ARGON PLASMA-MASS SPECTROMETRY TECHNIQUE (ICP-MS).,ANALYSE DES MÉTAUX DISSOUS PAR LA TECHNIQUE DE SPECTROMÉTRIE DE MASSE PAR PLASMA D’ARGON À COUPLAGE INDUCTIF (ICP-MS).
20,100100,2630,SODIUM EXTRACTABLE/UNFILTERED,SODIUM EXTRACTIBLE/NON FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
21,100101,2631,POTASSIUM EXTRACTABLE/UNFILTERED,POTASSIUM EXTRACTIBLE/NON FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,2628.0,EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.,MÉTAUX EXTRACTIBLES PAR ICAP
